LibraryName;Name;Sample;Type;Stress;Hours;Experiments
SRR8234111;Nuclear_NS_2_1;SRR8234111;Nuclear;NS;2;1
SRR8234112;Nuclear_HS_2_1;SRR8234112;Nuclear;HS;2;1
SRR8234113;Nuclear_NS_9_1;SRR8234113;Nuclear;NS;9;1
SRR8234114;Nuclear_HS_9_1;SRR8234114;Nuclear;HS;9;1
SRR8234115;Nuclear_NS_2_2;SRR8234115;Nuclear;NS;2;2
SRR8234116;Nuclear_HS_2_2;SRR8234116;Nuclear;HS;2;2
SRR8234117;Nuclear_NS_9_2;SRR8234117;Nuclear;NS;9;2
SRR8234118;Nuclear_HS_9_2;SRR8234118;Nuclear;HS;9;2
SRR8234119;Nuclear_NS_2_3;SRR8234119;Nuclear;NS;2;3
SRR8234120;Nuclear_HS_2_3;SRR8234120;Nuclear;HS;2;3
SRR8234121;Nuclear_NS_9_3;SRR8234121;Nuclear;NS;9;3
SRR8234122;Nuclear_HS_9_3;SRR8234122;Nuclear;HS;9;3
SRR8234123;Total_NS_2_1;SRR8234123;Total;NS;2;1
SRR8234124;Total_HS_2_1;SRR8234124;Total;HS;2;1
SRR8234125;Total_NS_9_1;SRR8234125;Total;NS;9;1
SRR8234126;Total_HS_9_1;SRR8234126;Total;HS;9;1
SRR8234127;Total_NS_2_2;SRR8234127;Total;NS;2;2
SRR8234128;Total_HS_2_2;SRR8234128;Total;HS;2;2
SRR8234129;Total_NS_9_2;SRR8234129;Total;NS;9;2
SRR8234130;Total_HS_9_2;SRR8234130;Total;HS;9;2
SRR8234131;Total_NS_2_3;SRR8234131;Total;NS;2;3
SRR8234132;Total_HS_2_3;SRR8234132;Total;HS;2;3
SRR8234133;Total_NS_9_3;SRR8234133;Total;NS;9;3
SRR8234134;Total_HS_9_3;SRR8234134;Total;HS;9;3
SRR8234135;TRAP_NS_2_1;SRR8234135;TRAP;NS;2;1
SRR8234136;TRAP_HS_2_1;SRR8234136;TRAP;HS;2;1
SRR8234137;TRAP_NS_2_2;SRR8234137;TRAP;NS;2;2
SRR8234138;TRAP_HS_2_2;SRR8234138;TRAP;HS;2;2
SRR8234139;TRAP_NS_2_3;SRR8234139;TRAP;NS;2;3
SRR8234140;TRAP_HS_2_3;SRR8234140;TRAP;HS;2;3
SRR9313569;Nuclear_1R_1_1;SRR9313569;Nuclear;1R;1;1
SRR9313570;Nuclear_1R_1_2;SRR9313570;Nuclear;1R;1;2
SRR9313571;Nuclear_1R_1_3;SRR9313571;Nuclear;1R;1;3
SRR9313572;Total_1R_1_1;SRR9313572;Total;1R;1;1
SRR9313573;Total_1R_1_2;SRR9313573;Total;1R;1;2
SRR9313574;Total_1R_1_3;SRR9313574;Total;1R;1;3
SRR9313575;TRAP_2R_1_1;SRR9313575;TRAP;2R;2;1
SRR9313576;TRAP_2R_1_2;SRR9313576;TRAP;2R;2;2
SRR9313577;TRAP_2R_1_3;SRR9313577;TRAP;2R;2;3
